3 78 6 98 2 44 2 2 47 53   
7 2 50 27 74 87 38 2 77 2   
10 2 15 2 2 2 95 2 68 85   
81 2 77 2 33 2 85 2 16 2   
3 23 38 72 44 99 2 2 20 20   
65 2 2 88 79 2 21 2 45 17   
59 99 20 56 25 2 65 2 4 51   
82 84 88 93 2 83 98 2 52 2   
77 93 72 96 40 28 2 2 40 83   
21 81 32 45 64 9 42 2 78 11   
98 50 29 2 6 47 2 2 58 2   
11 87 70 38 40 14 69 2 65 30   
5 2 71 55 4 34 2 2 20 93   
23 12 2 2 73 2 91 2 54 31   
12 52 11 25 67 79 95 2 4 60   
33 36 2 2 25 2 2 2 12 2   
17 30 29 3 2 22 14 2 13 23   
21 43 38 2 15 38 2 52 61 82   
69 50 8 56 88 22 2 2 36 55   
4 86 95 2 48 95 2 2 19 2   
62 75 89 85 2 70 80 2 79 55   
33 26 4 2 46 31 76 2 25 8   
93 91 32 54 52 9 2 2 97 2   
12 45 64 2 24 91 2 2 25 44   
80 45 98 2 65 5 2 2 100 2   
32 35 76 45 17 13 2 84 22 2   
65 61 52 2 26 97 84 2 37 45   
9 28 37 2 2 54 2 2 41 43   
20 52 54 48 27 18 42 2 100 2   
2 38 84 93 36 2 65 2 80 2   
99 4 3 69 80 27 2 2 11 4   
59 94 2 68 35 49 83 2 80 2   
97 2 61 2 95 81 2 2 43 2   
31 55 56 49 94 96 45 2 68 44   
3 83 99 20 66 2 98 2 25 2   
18 35 87 38 77 2 81 2 14 73   
48 26 76 99 23 61 83 2 56 30   
82 82 40 74 87 2 93 2 99 2   
14 9 91 76 86 94 2 2 89 2   
11 101 98 2 13 66 41 90 31 99   
54 75 66 2 2 82 55 2 47 2   
75 75 5 2 46 61 26 2 2 2   
88 80 43 32 61 11 93 2 38 74   
26 2 35 2 95 11 100 2 91 91   
19 34 100 87 2 19 2 2 32 2   
34 78 2 2 65 2 2 2 64 33   
34 13 2 2 2 2 2 2 84 85   
63 35 37 2 71 2 2 2 80 66   
54 89 2 73 19 2 2 2 13 2   
38 62 101 92 2 38 2 2 31 2   
78 2 36 2 68 25 88 2 83 37   
2 98 44 2 2 94 31 2 54 76   
84 26 19 51 61 17 2 2 83 2   
93 5 44 2 2 47 82 2 29 43   
93 63 51 2 2 57 28 2 48 2   
52 2 101 2 26 17 23 2 21 2   
6 62 52 20 10 56 68 2 51 2   
54 2 20 24 2 23 98 2 7 2   
59 68 8 93 8 13 20 2 32 2   
80 53 97 67 22 98 4 2 54 8   
84 3 71 2 2 2 2 2 3 59   
40 29 91 72 89 101 2 2 4 2   
26 32 21 2 11 28 2 2 69 2   
49 2 33 2 18 2 2 2 93 2   
36 12 2 2 2 2 2 2 28 18   
2 31 28 2 87 76 2 2 26 2   
52 85 62 81 95 87 2 2 63 21   
44 37 70 2 85 66 38 2 13 90   
35 46 64 2 97 81 2 2 89 2   
37 21 2 2 93 69 2 2 101 42   
2 2 21 2 2 11 2 2 4 2   
81 48 40 6 81 2 35 66 29 2   
32 53 4 58 98 24 98 2 8 43   
87 44 5 83 55 25 2 2 6 2   
32 7 86 30 6 101 84 2 12 72   
53 36 2 2 43 21 2 2 98 2   
2 50 2 87 88 2 2 30 86 2   
72 17 24 95 39 2 91 2 45 2   
24 2 101 2 86 62 46 2 18 2   
78 39 15 99 20 53 66 2 20 101   
8 46 42 2 2 2 78 2 33 60   
17 25 70 3 56 27 67 2 55 2   
6 57 85 2 5 2 82 38 39 96   
74 62 2 2 50 5 29 2 7 2   
7 99 50 2 17 2 2 2 15 2   
5 21 92 2 86 2 86 2 80 31   
95 40 39 2 34 98 88 2 58 93   
47 18 98 64 13 68 2 2 59 2   
56 32 58 2 62 25 79 2 2 2   
62 58 63 2 46 13 2 2 58 2   
33 82 92 2 90 66 5 2 11 84   
80 14 42 2 16 97 2 2 45 2   
34 2 26 97 2 37 36 2 31 2   
2 2 2 2 46 33 41 2 57 35   
58 62 2 2 2 64 2 2 67 2   
74 58 21 35 2 2 2 2 52 2   
4 2 2 2 2 2 33 2 7 30   
100 65 8 20 27 2 2 69 8 2   
9 49 46 67 2 26 48 2 8 10   
